symbol,change,name,price,volume,high,low
ATVI,-2.52,"ActivisionBlizzard,Inc",59.97,9744600,58.36,60.88
ADBE,-4.06,AdobeInc,336.77,5622200,326.6,344.16
AMD,1.0,"AdvancedMicroDevices,Inc",48.59,124430600,46.74,49.54
ALXN,-2.34,"AlexionPharmaceuticals,Inc",91.98,2859800,89.31,92.39
ALGN,-2.39,"AlignTechnology,Inc",225.17,1061000,218.8,226.58
GOOGL,-1.45,AlphabetInc,1295.74,3232000,1257.21,1302.75
GOOG,-1.56,AlphabetInc,1298.41,2660000,1261.05,1306.22
AMZN,-1.19,"Amazon.com,Inc",1901.09,5270900,1869.5,1910.87
AAL,-0.44,AmericanAirlinesGroupInc,15.97,54470400,14.8,17.12
AMGN,-0.69,AmgenInc,210.65,3100500,203.82,211.61
ADI,-1.72,"AnalogDevices,Inc",107.0,3801200,104.51,107.46
AAPL,-1.33,AppleInc,289.03,56491800,281.23,290.82
AMAT,-2.27,"AppliedMaterials,Inc",57.79,8777402,56.25,58.47
ASML,-0.05,ASMLHoldingN.V,288.11,1148400,281.29,288.24
ADSK,-5.77,"Autodesk,Inc",173.42,3272200,168.55,179.68
ADP,-0.95,"AutomaticDataProcessing,Inc",159.15,3137400,153.01,160.11
BIDU,-3.81,"Baidu,Inc",113.74,4850800,112.22,116.91
BIIB,0.08,BiogenInc,317.95,1513000,306.17,319.18
BMRN,-1.77,BioMarinPharmaceuticalInc,94.27,1711600,92.3,95.23
BKNG,-2.15,BookingHoldingsInc,1612.09,1077500,1584.0,1684.0
AVGO,-1.67,BroadcomInc,269.45,3016300,262.5,270.93
CDNS,-4.58,"CadenceDesignSystems,Inc",64.73,3361000,62.98,65.82
CERN,1.09,CernerCorporation,73.36,3283900,70.26,73.72
CHTR,-1.67,"CharterCommunications,Inc",496.72,2145300,480.65,498.62
CHKP,-1.97,CheckPointSoftwareTechnologiesLtd,98.6,2276900,96.4,100.71
CTAS,-0.99,CintasCorporation,272.32,835500,263.6,273.76
CSCO,0.28,"CiscoSystems,Inc",39.68,48603000,37.8,39.95
CTXS,1.25,"CitrixSystems,Inc",117.91,4220900,112.1,120.13
CTSH,-2.82,CognizantTechnologySolutionsCorporation,58.24,5364400,57.01,58.85
CMCSA,-0.98,ComcastCorporation,40.37,31302100,38.83,40.6
COST,-1.4,CostcoWholesaleCorporation,311.34,6179100,302.75,317.49
CSX,-1.03,CSXCorporation,68.25,5189500,65.72,68.83
DLTR,2.88,"DollarTree,Inc",80.24,3879900,75.56,80.54
EBAY,-2.23,eBayInc,36.39,12849800,35.59,36.79
EA,-2.3,ElectronicArtsInc,107.67,3886200,105.0,108.76
EXPE,0.37,"ExpediaGroup,Inc",91.85,3746329,88.0,92.94
FB,-2.2,"Facebook,Inc",181.09,24548800,176.26,183.78
FAST,-1.95,FastenalCompany,34.16,7757500,33.32,34.29
FISV,-2.23,"Fiserv,Inc",106.81,4426400,103.07,107.38
FOXA,-2.04,FoxCorporation,28.84,8403600,28.16,29.09
FOX,-2.06,FoxCorporation,28.52,2821300,27.55,28.79
GILD,5.37,"GileadSciences,Inc",80.22,29014711,75.11,80.3959
HAS,-2.31,"Hasbro,Inc",72.75,1800600,70.93,73.85
HSIC,-2.63,"HenrySchein,Inc",57.69,1916200,56.7,58.72
IDXX,-2.07,"IDEXXLaboratories,Inc",249.89,559200,242.75,250.83
ILMN,-0.58,"Illumina,Inc",274.42,1117600,265.96,275.82
INCY,-3.27,IncyteCorporation,76.04,1800100,74.82,76.9
INTC,-2.09,IntelCorporation,55.77,36258500,54.54,56.01
INTU,-3.83,IntuitInc,276.18,1591450,268.14,281.8
ISRG,-2.33,"IntuitiveSurgical,Inc",555.14,1034100,538.08,559.48
JBHT,0.15,"J.B.HuntTransportServices,Inc",93.23,782600,88.76,93.56
JD,-5.51,"JD.com,Inc",42.16,25375100,41.2,43.85
KLAC,-0.64,KLACorporation,155.68,1858400,151.49,156.14
LRCX,-1.58,LamResearchCorporation,294.41,2048600,285.25,298.67
LBTYK,-2.31,LibertyGlobalPlc,18.2,3308400,17.8,18.35
LBTYA,-2.46,LibertyGlobalPlc,19.0,2245000,18.64,19.22
LULU,-1.19,LululemonAthleticaInc,218.55,2362509,212.235,222.4
MAR,0.4,"MarriottInternational,Inc",110.66,6790100,103.89,113.62
MXIM,-1.95,"MaximIntegratedProducts,Inc",54.78,2127000,53.13,54.99
MELI,-2.13,"MercadoLibre,Inc",614.51,599800,585.89,618.06
MCHP,-1.94,MicrochipTechnologyIncorporated,86.96,5440300,84.93,88.7
MU,-4.19,"MicronTechnology,Inc",51.47,30298000,50.0,53.19
MSFT,-2.83,MicrosoftCorporation,161.57,72790000,156.0,163.11
MDLZ,-2.11,"MondelezInternational,Inc",55.66,9781200,54.29,55.98
MNST,-1.4,MonsterBeverageCorporation,66.19,6143800,64.34,66.45
MYL,-3.93,MylanN.V,15.4,18763400,14.65,15.53
NTAP,0.16,"NetApp,Inc",44.0,4223800,41.75,44.15
NTES,-1.39,"NetEase,Inc",336.21,1008300,327.91,337.98
NFLX,-1.02,"Netflix,Inc",368.97,8143300,356.85,371.31
NVDA,-2.65,NVIDIACorporation,266.04,12878800,258.0,268.39
NXPI,-3.11,NXPSemiconductorsN.V,111.69,3544400,109.13,114.07
ORLY,1.87,"O'ReillyAutomotive,Inc",368.08,1175800,352.24,369.57
PCAR,-1.22,PACCARInc,64.56,2703500,62.16,64.98
PAYX,-2.29,"Paychex,Inc",77.5,2592000,75.22,77.92
PYPL,-1.15,"PayPalHoldings,Inc",110.89,8522900,107.58,111.57
PEP,-0.61,"PepsiCo,Inc",137.26,6754900,131.45,138.17
QCOM,-2.15,QUALCOMMIncorporated,77.47,11535700,75.83,78.08
REGN,1.28,"RegeneronPharmaceuticals,Inc",494.43,1130700,477.0,496.99
ROST,0.81,"RossStores,Inc",102.51,3940100,97.34,103.42
SIRI,-3.01,SiriusXMHoldingsInc,6.44,33955300,6.33,6.55
SWKS,-2.92,"SkyworksSolutions,Inc",95.71,3052700,93.34,97.9
SBUX,-1.12,StarbucksCorporation,75.34,16553299,72.05,75.71
SNPS,-3.45,"Synopsys,Inc",137.72,1491300,133.71,139.76
TTWO,0.36,"Take-TwoInteractiveSoftware,Inc",117.69,2426100,113.47,118.71
TSLA,-2.91,"Tesla,Inc",703.48,12368130,684.45,707.0
TXN,-1.36,TexasInstrumentsIncorporated,113.16,6386200,110.14,113.87
KHC,-2.33,TheKraftHeinzCompany,26.03,7660963,25.62,26.385
TMUS,-2.23,"T-MobileUS,Inc",87.86,5978500,85.42,88.28
ULTA,-0.22,"UltaBeauty,Inc",256.58,1116934,248.15,258.09
UAL,0.99,"UnitedAirlinesHoldings,Inc",52.1,16484900,48.26,56.0
VRSN,-0.16,"VeriSign,Inc",192.01,824108,185.91,193.2
VRSK,-0.97,"VeriskAnalytics,Inc",163.37,1214500,157.89,164.46
VRTX,-1.61,VertexPharmaceuticalsIncorporated,233.5,1872600,226.61,234.48
WBA,3.55,"WalgreensBootsAlliance,Inc",50.51,10691247,47.18,50.84
WDC,-5.16,WesternDigitalCorporation,54.73,6008600,53.37,57.08
WLTW,-1.02,WillisTowersWatsonPublicLimitedCompany,199.71,742111,192.34,200.74
WDAY,-4.01,"Workday,Inc",158.68,2529393,153.39,161.36
WYNN,-1.62,"WynnResorts,Limited",94.03,5509200,90.0,98.0
XEL,1.3,XcelEnergyInc,70.15,5967601,66.2328,70.16
XLNX,-1.48,"Xilinx,Inc",79.86,3344100,78.28,80.48
