symbol,change,name,price,volume,high,low
ATVI,-0.34,"ActivisionBlizzard,Inc",58.13,10456000,55.92,58.18
ADBE,2.25,AdobeInc,345.12,6463400,324.0,345.46
AMD,3.34,"AdvancedMicroDevices,Inc",45.48,100331800,41.04,46.15
ALXN,2.11,"AlexionPharmaceuticals,Inc",94.03,3320400,89.7,94.08
ALGN,-2.51,"AlignTechnology,Inc",218.35,1738800,211.01,220.47
GOOGL,1.85,AlphabetInc,1339.25,4009900,1268.21,1342.45
GOOG,1.61,AlphabetInc,1339.33,3789100,1271.0,1341.14
AMZN,-0.03,"Amazon.com,Inc",1883.75,9481000,1811.13,1889.76
AAL,-7.52,AmericanAirlinesGroupInc,19.05,37093200,18.77,20.35
AMGN,-1.85,AmgenInc,199.73,5316100,195.18,203.0
ADI,1.23,"AnalogDevices,Inc",109.05,6033200,103.5,110.06
AAPL,-0.06,AppleInc,273.36,106627500,256.37,278.41
AMAT,1.96,"AppliedMaterials,Inc",58.12,13183718,54.1,58.18
ASML,-0.19,ASMLHoldingN.V,276.71,1647400,265.98,277.46
ADSK,5.66,"Autodesk,Inc",190.88,4339600,175.05,191.36
ADP,-1.77,"AutomaticDataProcessing,Inc",154.74,4583100,150.53,159.45
BIDU,0.06,"Baidu,Inc",119.98,9797800,114.81,120.5
BIIB,-0.55,BiogenInc,308.39,2396200,299.0,310.54
BMRN,0.61,BioMarinPharmaceuticalInc,90.37,2271400,87.0,90.79
BKNG,2.16,BookingHoldingsInc,1695.66,977000,1634.54,1718.0
AVGO,-0.49,BroadcomInc,272.62,4458600,262.74,274.13
CDNS,0.46,"CadenceDesignSystems,Inc",66.14,4698200,63.24,66.31
CERN,-0.89,CernerCorporation,69.27,5167200,67.53,69.34
CHTR,-3.02,"CharterCommunications,Inc",493.17,3428289,485.46,508.55
CHKP,2.13,CheckPointSoftwareTechnologiesLtd,103.8,2347000,98.91,104.25
CTAS,-1.04,CintasCorporation,266.74,1392300,255.0,267.52
CSCO,-0.27,"CiscoSystems,Inc",39.93,80188000,38.35,40.55
CTXS,0.41,"CitrixSystems,Inc",103.39,4823400,100.31,103.47
CTSH,-2.23,CognizantTechnologySolutionsCorporation,60.93,7873500,59.46,61.65
CMCSA,-1.51,ComcastCorporation,40.43,62186700,38.97,40.98
COST,-4.09,CostcoWholesaleCorporation,281.14,7091800,271.28,287.33
CSX,-2.52,CSXCorporation,70.45,11528100,68.42,70.96
DLTR,-2.66,"DollarTree,Inc",83.03,4580400,80.69,83.74
EBAY,-1.14,eBayInc,34.64,16824600,33.71,34.77
EA,-1.33,ElectronicArtsInc,101.37,6853700,98.59,101.89
EXPE,-0.09,"ExpediaGroup,Inc",98.62,5203481,95.24,99.78
FB,1.43,"Facebook,Inc",192.47,32568900,181.82,192.74
FAST,-2.28,FastenalCompany,34.22,8622900,33.49,34.84
FISV,0.76,"Fiserv,Inc",109.36,7131800,104.58,109.51
FOXA,-1.91,FoxCorporation,30.74,7567100,30.16,31.68
FOX,-1.74,FoxCorporation,30.45,3917400,29.86,31.32
GILD,-4.54,"GileadSciences,Inc",69.36,33000382,66.63,71.08
HAS,-2.84,"Hasbro,Inc",77.25,2288300,75.63,78.46
HSIC,-2.53,"HenrySchein,Inc",60.94,2319800,59.89,62.23
IDXX,1.74,"IDEXXLaboratories,Inc",254.51,1614600,238.04,254.94
ILMN,2.21,"Illumina,Inc",265.67,2678200,252.43,265.88
INCY,-0.57,IncyteCorporation,75.41,2525000,73.5,76.44
INTC,-0.56,IntelCorporation,55.52,60721700,53.6,56.38
INTU,-1.09,IntuitInc,265.85,2715683,255.59,266.12
ISRG,-1.96,"IntuitiveSurgical,Inc",533.96,1943200,518.56,536.85
JBHT,-0.36,"J.B.HuntTransportServices,Inc",96.44,1321516,92.04,96.45
JD,0.29,"JD.com,Inc",38.51,22955300,36.815,38.73
KLAC,3.87,KLACorporation,153.71,3695100,142.09,153.93
LRCX,2.71,LamResearchCorporation,293.43,3195600,273.66,294.45
LBTYK,-2.08,LibertyGlobalPlc,18.59,5710500,18.09,18.86
LBTYA,-2.35,LibertyGlobalPlc,19.52,2795700,19.02,19.8
